NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank
Pedagogia (Licenciatura) (107356),UFPB,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.349206349206349,63,13
Ciências Biológicas (Licenciatura) (113699),UFPB,PB,65,Infraestrutura,A instituição contou com biblioteca virtual ou conferiu acesso a obras disponíveis em acervos virtuais.,5.348837209302325,43,1
Ciência Da Computação (Licenciatura) (98984),UFPB,PB,30,"Ensino, apoio e avaliacão",O curso propiciou experiências de aprendizagem inovadoras.,5.3478260869565215,23,3
Engenharia de Alimentos (13428),UFPB,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.346153846153846,26,12
Engenharia de Alimentos (13428),UFPB,PB,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.346153846153846,26,3
Engenharia de Produção (19563),UFPB,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.346153846153846,26,13
Letras-Português (Licenciatura) (109954),UFPB,PB,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,5.345679012345679,81,5
Letras - Inglês (107549),UFPB,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.345454545454546,55,5
Ciências Biológicas (Licenciatura) (13399),UFPB,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.344262295081967,61,10
Ciências Sociais (Licenciatura) (1110230),UFPB,PB,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,5.3428571428571425,35,2
Música (Licenciatura) (97039),UFPB,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.3428571428571425,35,11
História (Licenciatura) (13415),UFPB,PB,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.342105263157895,38,3
Música (Licenciatura) (97039),UFPB,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.341463414634146,41,15
Pedagogia (Licenciatura) (122924),UFPB,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.337662337662337,77,9
Educação Física (Licenciatura) (13423),UFPB,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.333333333333334,33,16
História (Licenciatura) (13415),UFPB,PB,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,5.333333333333333,39,3
Letras - Inglês (107549),UFPB,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.333333333333333,54,14
Pedagogia (Licenciatura) (109626),UFPB,PB,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.333333333333333,72,4
Pedagogia (Licenciatura) (109626),UFPB,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.333333333333333,72,4
Ciências Biológicas (Licenciatura) (13399),UFPB,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.328947368421052,76,14
Música (Licenciatura) (97039),UFPB,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.325,40,18
Letras-Português (Licenciatura) (5000898),UFPB,PB,48,Curso em geral,"As atividades práticas foram suficientes para relacionar os conteúdos do curso com a prática, contribuindo para sua formação profissional.",5.32258064516129,31,1
